basiccar,pop.total,pop.male,pop.u20,pop.20.64,pop.married,pop.white,pop.black,pop.native,pop.asian,pop.pacific,pop.latino,occupants.1.5,rent.35.income,occ.units,pop.single.hh,hh.size,no.school,poverty,med.income,pop.no.insur,pop.unempl,city,x,y,R_MeanDiff
20A1,51525.77852,49.33478425,20.9196621,69.60536453,0.198371409,36.37402145,5.471045799,0.922026043,35.66960077,0.743764616,43.85188485,14.018881,50.35505732,19378.82286,0.211525277,2.665064744,22.90490743,20.83699845,41246.15516,8.290244101,5.94184955,1,-118.4420084,34.01214748,17.625
20A13,55791.23035,49.35413168,21.32912536,69.17822749,0.200665566,39.17679078,5.172079595,0.863021617,33.10454642,0.794459833,45.63826991,13.53261949,49.54650246,20569.15836,0.207099522,2.740270969,23.29092657,20.33075507,42237.81015,8.035574223,5.947386169,1,-118.4129084,34.02439259,12.70833333
20A25,52337.79505,49.2123778,20.96807788,69.77622204,0.20051446,37.08990056,5.409772164,0.893811102,36.82541014,0.8,42.67915076,13.54071665,50.16384425,19718.92103,0.212274577,2.665651408,22.05732808,20.03094449,41853.98007,8.676222045,5.77785004,1,-118.4312849,33.98342261,9.37037037
20A33,41393.28474,49.78915992,21.49749323,68.6186328,0.175219102,22.95822615,6.158602524,1.273645939,36.47193001,0.389576514,49.45286802,19.94892878,53.80497534,16161.09001,0.220315957,2.626791276,29.57254561,26.80642621,34052.22926,7.76515771,6.913374053,1,-118.3821078,33.95824514,17.85
20A39,45834.56136,49.6061025,20.81978791,69.53956847,0.189781109,30.88302004,5.849973332,1.067164338,37.556345,0.602965957,44.39806967,16.24993365,51.62457471,17693.56449,0.217271882,2.614395536,24.84879993,23.19284455,38436.25247,8.330203942,6.168213808,1,-118.4232781,33.95761527,20
20A45,40442.63232,49.77241191,21.10997674,68.85777133,0.175737,22.9648321,6.167571349,1.264003679,37.40208373,0.386344175,48.280469,19.5058316,53.81213993,15835.69371,0.220810424,2.602330831,28.86655448,26.46905322,34428.70685,7.758643371,6.858763273,1,-118.4151055,34.20378503,18.65384615
20A53,55697.90736,49.81883878,23.3595661,65.98397534,0.179470402,26.5900917,9.892550269,1.401863345,24.08510542,0.2948499,57.94424298,19.46549583,52.72358579,19624.66265,0.190612178,2.898949845,33.88247708,26.45441197,36585.3913,7.22126832,7.243990297,1,-118.3865997,34.20148339,15.41176471
20A69,59675.70405,50.29298325,26.1811349,63.76980702,0.171824005,23.02844598,4.194070782,1.214887698,20.48367566,0.300169995,71.77868665,25.69505929,53.57293898,19244.35624,0.189312324,3.204600957,42.83678034,28.8589427,31975.04126,7.919286906,8.133607953,1,-118.3978968,34.16482555,23.79166667
20A71,60669.36064,49.44766289,25.52704712,63.81662953,0.177569984,26.18103837,16.05190427,1.570313027,15.07474033,0.275647351,62.67837728,16.91504618,53.53920757,19934.23219,0.175596615,3.142048104,36.13287222,26.28857109,36721.02875,7.772089341,7.478287996,1,-118.3479709,34.14373041,19.33333333
20A97,57344.45395,50.21200873,26.26299537,64.35006726,0.163312067,24.92477628,5.437510833,1.180846735,19.78985052,0.341275986,68.5899278,22.93716824,56.11796717,17898.1122,0.184954974,3.283260231,42.0692733,32.86485982,30081.61081,7.660756995,7.922396025,1,-118.3919924,34.13970405,26.09090909
