basiccar,pop.total,pop.male,pop.u20,pop.20.64,pop.married,pop.white,pop.black,pop.native,pop.asian,pop.pacific,pop.latino,occupants.1.5,rent.35.income,occ.units,pop.single.hh,hh.size,no.school,poverty,med.income,pop.no.insur,pop.unempl,city,x,y,R_MeanDiff,NR_CrimeCount,R_CrimeCount,R_MedianDiff,R_SDDiff,R_1DAY,R_1WEEK,R_1MONTH,R_MONTHS,crime.cap
70,163432,46.79438543,27.50807675,58.1593568,32.97701796,41.46739929,36.03394684,0.23312448,9.953375104,0.006730628,15.33543003,6.355821374,47.67599529,57349,2.418350799,0.10002937,1.921288365,21.41135151,49086,17.7,8.742854277,2,-73.89053162,40.71079814,250.8305085,45452,118,3.5,611.2852553,0.398305085,0.169491525,0.076271186,0.355932203,0.278831563
71,103547,45.42285146,24.73369581,60.49909703,25.46766203,24.32421992,66.87204844,0.195080495,1.968188359,0.079191092,9.679662376,3.554219989,46.15575013,38602,2.296694472,0.11733802,1.334659623,21.14305581,46018,18.3,11.2376968,2,-73.73684515,40.70008722,261.742268,41098,97,2,1373.589726,0.494845361,0.144329897,0.103092784,0.257731959,0.397838663
72,131348,50.86563937,24.97411457,64.23698876,37.11742851,39.2796236,3.600359351,0.52836739,26.5668301,0.024362762,43.92072966,6.396396396,47.4320344,41070,2.692354517,0.062383896,3.095593386,26.61631696,59980,28.1,7.643941564,2,-73.83273771,40.66926289,347.4951456,31772,103,3,924.6711114,0.45631068,0.097087379,0.077669903,0.368932039,0.242675945
73,90971,43.04118895,30.36242319,57.41719889,18.29374196,5.978828418,79.73090325,0.368249222,1.698343428,0,20.75826362,2.550818273,46.34101853,32813,2.284125194,0.123786701,2.039111365,35.34093282,31002,27.3,13.21148118,2,-73.79737263,40.72615068,244.828125,59863,192,2,754.175599,0.463541667,0.182291667,0.067708333,0.286458333,0.660155434
75,183114,45.41160152,29.4057254,58.23858361,23.83214828,20.18141704,60.27447383,0.417226427,3.889926494,0.117413196,35.23105825,3.361237547,43.34250657,62834,2.488907279,0.098359492,2.130366875,30.20358902,36835,28.4,10.938835,2,-73.92301859,40.74048856,364.7888563,97688,341,2,1130.544074,0.442815249,0.134897361,0.105571848,0.316715543,0.535344103
76,47632,46.85505542,21.22732617,65.58196171,36.50277125,66.78913336,13.3481693,0.277124622,5.311555257,0,20.03065166,2.124603803,27.77471771,20192,2.19260103,0.12676352,1.049714478,14.21313403,99554,13.8,8.402456103,2,-73.81560351,40.77165333,322.8,16143,30,2,1019.485584,0.433333333,0.2,0.1,0.266666667,0.339540645
77,93269,45.65075213,20.89333005,66.34144249,20.76145343,23.04731476,62.66283545,0.280907912,4.092463734,0,12.63120651,2.585483666,40.05731523,39335,2.105936189,0.15692245,1.113982138,25.14447458,50219,18.5,8.549798181,2,-73.85980459,40.74367932,287.4561404,41945,114,2.5,940.8014202,0.447368421,0.114035088,0.122807018,0.315789474,0.450942971
78,74056,48.21756509,20.1037053,68.68856001,39.03262396,72.60721616,7.84811494,0.212001728,7.073025818,0,14.80771308,1.666772898,27.68101711,31378,2.225348971,0.123906233,0.783191099,7.644215189,113612,8.7,4.842261275,2,-73.75922493,40.75669189,203.5517241,23311,29,4,651.9325987,0.379310345,0.206896552,0.103448276,0.310344828,0.315166901
79,94832,47.48186266,26.63657837,62.66450143,21.15846971,30.0278387,54.15366121,0.45343344,3.798295934,0.044288848,20.36759744,3.839690808,41.54126924,35706,2.251386322,0.126001772,1.105112198,30.87987177,44781,22.6,12.90523816,2,-73.8497444,40.72245312,275.3461538,44559,130,2,925.5590367,0.492307692,0.169230769,0.046153846,0.292307692,0.471243884
81,66851,45.93349389,24.60845761,62.39846824,20.50530284,13.80981586,73.40653094,0.550477929,3.503313339,0,15.28922529,1.444215204,45.1889004,25204,2.301261704,0.122391587,1.247550523,27.30250856,43177,23.2,11.86077644,2,-73.78140204,40.66104389,207.490566,35861,106,1,984.1086007,0.556603774,0.179245283,0.094339623,0.169811321,0.538017382
83,118764,49.85349096,24.92253545,65.2108383,23.33788017,43.06018659,29.63271698,0.794853659,5.1404466,0,61.25425213,4.541377278,48.58278864,39019,2.575796407,0.080916776,2.35677478,27.60937658,43647,31.5,12.77256688,2,-73.91438155,40.77002321,470.5802469,39886,162,3.5,1171.318367,0.401234568,0.160493827,0.061728395,0.37654321,0.337206561
84,56684,49.39312681,17.89923082,69.74278456,36.62761979,63.76578929,13.52939101,0.08467998,11.06485075,0.183473291,13.60877849,3.353303044,26.9891945,24871,1.986208838,0.169942135,0.917366453,15.46115306,113033,12.6,6.43045388,2,-73.87621675,40.76260669,311.1851852,30638,27,11,915.1519015,0.259259259,0.148148148,0.148148148,0.444444444,0.540981582
88,58355,46.24111044,19.92288579,66.07317282,27.46465598,39.13117985,39.83891697,0.126810042,8.45857253,0.023991089,16.3961957,2.328557863,32.3769522,24221,2.073035795,0.155547939,1.069317111,17.9144889,72630,13.8,9.06151747,2,-74.09642245,40.62527017,340.1627907,24961,43,2,817.1276036,0.488372093,0.139534884,0.069767442,0.302325581,0.42848085
9,75941,48.64565913,14.61134302,72.21527238,21.58122753,62.52485482,8.363071332,0.175135961,13.62768465,0.118513056,22.80586245,2.470622875,33.96007215,37359,1.683503306,0.265456078,1.535402484,20.12615056,70025,17.1,6.131776334,2,-74.16620714,40.60683461,178.8219178,33984,73,1,432.3810801,0.506849315,0.095890411,0.095890411,0.301369863,0.448466573
90,125530,49.94343982,31.94535171,57.88974747,28.54297777,70.49071935,9.655859157,0.500278818,6.078228312,0.054170318,30.12586633,5.175660908,41.80377498,43009,2.400288312,0.093109217,1.768501553,35.1390106,46699,25,7.80107601,2,-74.11591596,40.57553713,335.2891566,39516,83,4,1090.174226,0.481927711,0.120481928,0.072289157,0.325301205,0.315454473
94,60005,49.35088743,12.01233231,78.22681443,32.16065328,79.14507124,4.141321557,0.264977919,7.581034914,0.01499875,14.93542205,1.736412572,35.06807202,28795,1.970480986,0.181701525,0.94992084,11.92067328,82683,11.6,5.146118505,2,-74.20585733,40.53682113,190.3125,21944,48,1,991.2056737,0.583333333,0.166666667,0.104166667,0.145833333,0.366502791
